year,state,response_strategy,avg_rating
2016,WA,Occasional,4.062901362429313
2016,WA,Slow but frequent,4.123948645523062
2018,AL,Rapid and frequent,4.296555738628956
2016,MS,Rapid and frequent,4.163063534643225
2018,NH,Occasional,4.3286160481442515
2017,WA,Rare or none,4.207070508790599
2016,NH,Rare or none,4.191842789831884
2018,Unknown,Rapid and frequent,4.641711884633857
2019,MS,Rare or none,4.239957517605304
2020,NM,Slow but frequent,4.3607167291455164
2015,AL,Rare or none,3.9466932400882344
2017,AL,Occasional,4.175912023647349
2015,MS,Rapid and frequent,3.7836235806676983
2020,Unknown,Rapid and frequent,4.650668220959198
2021,MS,Rapid and frequent,4.228404654112592
2015,MS,Occasional,4.010399282981827
2019,NH,Occasional,4.358208547403649
2017,Unknown,Rapid and frequent,4.55935522040325
2017,NM,Slow but frequent,4.284412759560589
2019,NH,Slow but frequent,4.446317456558774
2018,NM,Occasional,4.18997003338014
2018,WA,Occasional,4.24713925717727
2018,MS,Rapid and frequent,4.310767525128205
2018,NM,Rapid and frequent,4.210027562859177
2018,WA,Rare or none,4.2475681584907194
2015,AL,Rapid and frequent,3.9707368385242536
2016,Unknown,Rare or none,4.41081614180314
2017,NH,Rapid and frequent,4.322459307267026
2017,MS,Rare or none,4.182048433646774
2021,NM,Slow but frequent,4.318735321596251
2021,AL,Rare or none,4.269567561384045
2016,NM,Occasional,4.004237788327174
2021,AL,Occasional,4.260553998297796
2019,NM,Rapid and frequent,4.253284805852103
2020,MS,Occasional,4.217987886887188
2018,WA,Slow but frequent,4.343907367626441
2015,MS,Slow but frequent,4.013388339402081
2018,MS,Slow but frequent,4.333159708456563
2020,NM,Rapid and frequent,4.216827374067597
2016,NH,Slow but frequent,4.247946541469632
2018,Unknown,Occasional,4.403637590919375
2018,NH,Rapid and frequent,4.335125277731255
2019,AL,Occasional,4.277444180014272
2020,NH,Rare or none,4.373292185061937
2019,WA,Rapid and frequent,4.273860491416156
2020,AL,Rapid and frequent,4.296989223746685
2015,NH,Rapid and frequent,4.032832852070602
2021,NH,Slow but frequent,4.511440063276742
2020,NM,Rare or none,4.224652385646173
2020,MS,Slow but frequent,4.357430516910643
2017,AL,Slow but frequent,4.353019721254689
2018,AL,Occasional,4.246835454002814
2016,Unknown,Occasional,4.356054997780329
2015,AL,Slow but frequent,4.109772484358866
2021,Unknown,Rapid and frequent,4.677030480787658
2017,Unknown,Rare or none,4.435052705474864
2021,Unknown,Slow but frequent,4.502407420786326
2021,Unknown,Occasional,4.5308278100024815
2021,MS,Slow but frequent,4.312378501269292
2018,NH,Slow but frequent,4.399171648108166
2019,Unknown,Rapid and frequent,4.613612640418567
2019,Unknown,Slow but frequent,4.609157935540467
2015,Unknown,Rare or none,4.438583465659968
2017,NH,Slow but frequent,4.334161478374335
2016,NH,Occasional,4.119739442165876
2015,Unknown,Rapid and frequent,4.576923076923077
2020,AL,Occasional,4.253200830220246
2020,Unknown,Rare or none,4.425366707303184
2020,Unknown,Occasional,4.45681839780269
2015,AL,Occasional,4.014453183780543
2019,MS,Slow but frequent,4.326569908449184
2018,WA,Rapid and frequent,4.209542549986744
2017,WA,Rapid and frequent,4.146918212129273
2020,NH,Rapid and frequent,4.398364260034161
2020,AL,Rare or none,4.280844705305164
2017,NM,Rare or none,4.137652478130326
2021,NH,Rare or none,4.3723447263100255
2021,MS,Rare or none,4.237972419604155
2019,NM,Slow but frequent,4.297449819615177
2020,AL,Slow but frequent,4.431017267839412
2020,WA,Slow but frequent,4.437566989433
2017,MS,Slow but frequent,4.2648423596215785
2015,WA,Rapid and frequent,3.8171331640620623
2015,NH,Slow but frequent,4.244964611856434
2015,WA,Occasional,3.9742653506473813
2015,NM,Slow but frequent,3.9852027779883406
2015,NM,Rapid and frequent,3.6773540595396073
2018,AL,Rare or none,4.2456894518124715
