category,state,price,year,avg_rating,business suggestion
Entertainment agency,WA,**,2015,2.7142857142857144,Discreet
Graphic designer,MS,**,2019,5.0,Highly recommended
Waterproofing company,WA,**,2019,3.5,Discreet
Corporate office,NM,*,2015,5.0,Highly recommended
Mobile phone repair shop,NH,**,2017,3.4583333333333335,Discreet
T-shirt store,WA,**,2017,3.710411622276029,Recommended
Lawn mower store,NH,**,2017,4.498076923076923,Recommended
Movie rental,MS,*,2016,1.0,Not recommended
Food producer,WA,*,2021,3.0,Discreet
Shopping mall,WA,*,2017,3.8225806451612905,Recommended
Taiwanese restaurant,NM,*,2017,3.4761904761904763,Discreet
Public golf course,AL,**,2015,5.0,Highly recommended
Takeout restaurant,NH,*,2018,3.856888327721661,Recommended
Sushi takeaway,MS,*,2018,3.769662921348315,Recommended
Takeout Restaurant,NH,**,2016,3.980348370335712,Recommended
Office equipment supplier,NH,**,2016,3.125,Discreet
Hair removal service,MS,**,2018,4.5,Recommended
Key duplication service,AL,**,2017,4.75,Highly recommended
Fine dining restaurant,AL,**,2018,4.007598658836503,Recommended
Home improvement store,WA,***,2020,4.2575980392156865,Recommended
Vacuum cleaner store,AL,***,2016,5.0,Highly recommended
Passport photo processor,NH,**,2020,3.551111111111111,Recommended
Dog trainer,MS,**,2021,5.0,Highly recommended
Coffee shop,NM,**,2016,4.007295886647023,Recommended
Sporting goods store,AL,**,2020,3.7547619047619047,Recommended
Reptile store,WA,**,2020,4.335629632765168,Recommended
Day spa,WA,**,2015,4.352380952380953,Recommended
Book store,WA,**,2018,4.371134847915248,Recommended
Stores and shopping,WA,**,2015,5.0,Highly recommended
Moving supply store,NM,*,2016,3.4397619047619044,Discreet
Wellness center,AL,**,2021,5.0,Highly recommended
Hot dog restaurant,MS,*,2017,4.136018728330036,Recommended
Pho restaurant,NH,*,2017,4.551724137931035,Highly recommended
Oyster bar restaurant,WA,***,2015,4.328492063492064,Recommended
Shopping mall,AL,*,2020,4.116882352941176,Recommended
American restaurant,NH,***,2016,4.295587433956417,Recommended
Brazilian restaurant,NH,**,2017,4.36155183655727,Recommended
Wine store,WA,*,2015,2.5866013071895426,Discreet
Microwave oven repair service,AL,**,2021,4.920245398773006,Highly recommended
Wholesale grocer,NH,*,2016,3.7333333333333334,Recommended
Wine,WA,**,2018,4.076923076923077,Recommended
Japanese restaurant,NM,***,2017,4.171132572431958,Recommended
Diesel fuel supplier,AL,*,2016,3.6842105263157894,Recommended
Window treatment store,WA,**,2015,3.9253968253968257,Recommended
Video arcade,NH,*,2015,5.0,Highly recommended
Wicker store,NH,**,2019,4.386914186914187,Recommended
RV storage facility,NH,*,2017,3.652081971232429,Recommended
Supermarket,NM,**,2019,4.546069826612037,Highly recommended
Taco restaurant,NH,**,2018,3.6886761842959115,Recommended
Authentic Japanese restaurant,WA,*,2017,4.30178606922793,Recommended
Appliance store,MS,*,2015,3.9387320044296787,Recommended
