category,state,price,year,avg_rating,business_suggestion
Argentinian restaurant,WA,****,2016,4.48,Recommended
Korean restaurant,NM,*,2015,4.40,Recommended
Liquor store,NM,***,2018,4.94,Highly recommended
Traditional American restaurant,MS,**,2019,3.98,Recommended
Hobby store,AL,**,2018,4.37,Recommended
Hobby store,WA,***,2020,4.70,Highly recommended
Tire shop,AL,*,2018,3.38,Discreet
Swimming pool supply store,NH,**,2020,3.83,Recommended
Traditional restaurant,AL,*,2015,4.38,Recommended
Men's clothing store,NM,***,2016,4.22,Recommended
Clothing store,MS,**,2016,4.05,Recommended
Beauty salon,NH,**,2018,4.06,Recommended
Produce market,WA,*,2018,4.35,Recommended
Deli,WA,***,2021,4.60,Highly recommended
Video arcade,NM,**,2017,3.94,Recommended
Photo shop,WA,**,2019,4.27,Recommended
Nightlife,WA,**,2015,4.50,Recommended
Game store,NM,**,2015,4.17,Recommended
Family restaurant,NH,*,2017,4.23,Recommended
Truck rental agency,NM,**,2018,4.76,Highly recommended
Boutique,WA,**,2015,3.81,Recommended
Coffee store,WA,*,2020,3.65,Recommended
Soup kitchen,AL,*,2019,4.45,Recommended
Fusion restaurant,NM,**,2020,4.50,Recommended
Chophouse restaurant,WA,****,2015,4.20,Recommended
Corporate gift supplier,WA,**,2015,4.06,Recommended
General store,NM,*,2019,4.46,Recommended
Restaurant,WA,**,2019,4.26,Recommended
Tool store,WA,***,2020,4.72,Highly recommended
Dumpling restaurant,WA,**,2017,4.38,Recommended
Gas station,NM,*,2016,2.93,Discreet
Beer garden,NM,**,2018,4.16,Recommended
Vegetarian restaurant,WA,*,2015,3.65,Recommended
Fine dining restaurant,WA,****,2020,4.55,Highly recommended
Store,MS,*,2016,4.37,Recommended
Event venue,AL,*,2018,4.67,Highly recommended
Store,NH,***,2015,5.00,Highly recommended
Greeting card shop,MS,**,2017,3.59,Recommended
Toy store,MS,**,2017,3.78,Recommended
Gas station,NH,**,2020,3.36,Discreet
Chinese takeaway,MS,*,2017,3.84,Recommended
Bagel shop,WA,**,2016,4.35,Recommended
Steak house,NH,*,2021,4.24,Recommended
European restaurant,WA,*,2020,4.31,Recommended
Discount store,NM,*,2016,3.88,Recommended
Home goods store,MS,*,2019,4.16,Recommended
Sign shop,NM,**,2018,4.11,Recommended
Jewelry store,MS,*,2015,4.19,Recommended
Honda dealer,WA,*,2016,4.77,Highly recommended
Lighting store,MS,*,2018,4.24,Recommended
American restaurant,NH,***,2016,4.30,Recommended
Bar,NH,***,2015,4.28,Recommended
Gay night club,WA,**,2015,3.88,Recommended
Hamburger restaurant,NM,*,2018,3.83,Recommended
School supply store,NH,**,2018,3.97,Recommended
Indian restaurant,NM,**,2019,4.23,Recommended
Diesel fuel supplier,NH,**,2019,3.40,Discreet
Gyro restaurant,AL,*,2016,4.08,Recommended
Spanish restaurant,MS,**,2017,4.25,Recommended
Gluten-free restaurant,NM,*,2019,4.17,Recommended
Seafood restaurant,WA,***,2015,3.97,Recommended
Digital printer,WA,*,2021,4.71,Highly recommended
Middle Eastern restaurant,WA,*,2021,4.34,Recommended
Outlet store,NH,*,2016,4.33,Recommended
Volunteer organization,WA,*,2015,5.00,Highly recommended
Rustic furniture store,NH,**,2018,4.10,Recommended
Bait shop,AL,**,2019,4.48,Recommended
Convenience store,AL,**,2021,3.14,Discreet
Bar & grill,WA,**,2021,4.29,Recommended
ATM,AL,**,2016,3.92,Recommended
Grocery delivery service,NM,**,2016,3.80,Recommended
Meeting room,NH,**,2020,4.40,Recommended
Vaporizer store,WA,**,2021,4.44,Recommended
Health food store,WA,***,2015,3.88,Recommended
Family restaurant,WA,***,2020,4.31,Recommended
Exhibit,WA,***,2020,5.00,Highly recommended
Shipping service,WA,**,2019,3.41,Discreet
Appliance store,Unknown,**,2015,3.50,Discreet
Tea and coffee merchant,WA,*,2019,4.47,Recommended
Oil change service,AL,*,2017,2.86,Discreet
Laotian restaurant,NM,**,2016,4.36,Recommended
Lounge,MS,**,2015,4.00,Recommended
Air conditioning repair service,AL,*,2019,3.92,Recommended
Beauty supply store,AL,***,2019,3.86,Recommended
Body piercing shop,AL,**,2020,3.94,Recommended
Meeting planning service,AL,**,2015,4.77,Highly recommended
Chinaware store,MS,***,2017,3.00,Discreet
Tofu shop,WA,*,2016,4.77,Highly recommended
Plus size clothing store,MS,*,2017,4.31,Recommended
Fashion accessories store,MS,*,2015,4.06,Recommended
Playground,WA,*,2016,4.27,Recommended
Mexican grocery store,MS,*,2017,4.34,Recommended
Wine bar,AL,**,2018,4.22,Recommended
Pizza Takeout,NM,*,2018,3.91,Recommended
Salad shop,AL,*,2019,4.16,Recommended
Raw food restaurant,WA,*,2018,4.28,Recommended
Swimming pool repair service,AL,**,2018,4.00,Recommended
Tobacco shop,AL,*,2019,3.84,Recommended
Internet cafe,MS,**,2018,4.22,Recommended
