year,state,response_strategy,avg_rating
2017,WA,Slow but frequent,4.288272673693128
2019,NH,Rare or none,4.338179161863845
2021,WA,Slow but frequent,4.402834217208227
2017,AL,Rapid and frequent,4.218074710021019
2016,NM,Rare or none,3.996928937483399
2020,NH,Rapid and frequent,4.399023594362295
2015,WA,Rapid and frequent,3.8171331640620636
2017,NM,Occasional,4.133032564556284
2017,MS,Slow but frequent,4.261420340008102
2015,NH,Slow but frequent,4.251823921012669
2021,MS,Slow but frequent,4.311767978563257
2018,NH,Slow but frequent,4.407256035356129
2019,NM,Occasional,4.210501944873355
2020,MS,Occasional,4.215973677057207
2017,NM,Rapid and frequent,4.1039566482878405
2020,WA,Rare or none,4.301810844810122
2019,WA,Occasional,4.2680361019957
2019,AL,Rapid and frequent,4.341338200353504
2018,Unknown,Occasional,4.402324115260854
2017,AL,Occasional,4.176000018240091
2021,Unknown,Rapid and frequent,4.676633981826068
2018,WA,Slow but frequent,4.343182845545526
2016,MS,Rare or none,4.038387322416635
2021,AL,Slow but frequent,4.415976314020573
2020,WA,Rapid and frequent,4.290852549158464
2019,Unknown,Slow but frequent,4.608518622845808
2018,Unknown,Rapid and frequent,4.651601511637256
2017,NH,Occasional,4.279098412172728
2018,WA,Rapid and frequent,4.211366168662195
2020,MS,Rare or none,4.254933884736023
2016,WA,Occasional,4.063321993741163
2016,NM,Occasional,4.004237788327176
2018,MS,Rare or none,4.221089260909933
2019,MS,Slow but frequent,4.329332444832286
2017,WA,Rare or none,4.206482624119393
2021,WA,Occasional,4.283754856750683
2015,NM,Rare or none,3.8669155141866174
2020,MS,Rapid and frequent,4.245929144952617
2021,Unknown,Slow but frequent,4.495622909188933
2016,Unknown,Rapid and frequent,4.690633716810044
2017,NM,Rare or none,4.137748405334111
2016,NH,Occasional,4.117142803352205
2021,NM,Slow but frequent,4.319127509722025
2019,NM,Rare or none,4.2070775566977945
2017,NH,Slow but frequent,4.340621460585905
2016,NH,Slow but frequent,4.247668408597112
2017,Unknown,Slow but frequent,4.512108443575486
2018,NH,Rare or none,4.325731238006473
2015,Unknown,Occasional,4.346174242424242
2017,Unknown,Rapid and frequent,4.554633058693926
2016,NM,Rapid and frequent,4.020773356311942
2018,NH,Rapid and frequent,4.336280806321836
2021,NH,Slow but frequent,4.51034442723505
2019,Unknown,Rare or none,4.447268468232304
2021,MS,Rapid and frequent,4.2269370579598
2018,Unknown,Slow but frequent,4.625942322792566
2021,WA,Rapid and frequent,4.290249260945125
2015,AL,Occasional,4.014453183780543
2015,Unknown,Rapid and frequent,4.576923076923077
2017,NH,Rapid and frequent,4.32408788962696
2016,MS,Occasional,4.064110663494878
2016,AL,Rare or none,4.094198264329646
2020,MS,Slow but frequent,4.356688232770676
2016,Unknown,Rare or none,4.406195983338713
2019,AL,Occasional,4.277602180562285
2015,NM,Slow but frequent,3.9906304194028657
2015,NM,Occasional,3.9392600743072297
2019,AL,Rare or none,4.260590357324169
2021,NH,Rapid and frequent,4.39349541639973
2016,NM,Slow but frequent,4.08871797128089
2021,NH,Occasional,4.406539816821749
2018,MS,Rapid and frequent,4.313284264263425
2021,NM,Occasional,4.227844181153847
2016,AL,Slow but frequent,4.224105091262378
2021,MS,Rare or none,4.237914245270766
2016,MS,Rapid and frequent,4.156937417091284
2016,NH,Rare or none,4.191884781244714
2017,MS,Rapid and frequent,4.1187405474394145
2021,AL,Rapid and frequent,4.301935278045439
2018,MS,Slow but frequent,4.3364724599984745
2015,NM,Rapid and frequent,3.677354059539608
2019,MS,Rare or none,4.239843570014039
2015,NH,Rapid and frequent,4.032832852070602
2015,WA,Rare or none,4.030143630609666
2021,WA,Rare or none,4.319013099749835
2015,MS,Rapid and frequent,3.7713369501693927
2016,Unknown,Occasional,4.381651790675989
2019,NH,Slow but frequent,4.447551902737939
2020,NH,Occasional,4.386942685597199
2016,WA,Slow but frequent,4.12397121830315
2016,NH,Rapid and frequent,4.251033970214363
2020,NH,Slow but frequent,4.504601121722297
2019,WA,Rare or none,4.2676012333245295
2019,NM,Slow but frequent,4.296042480600111
2016,Unknown,Slow but frequent,4.482369935678037
2015,WA,Occasional,3.9742346776445796
2020,Unknown,Slow but frequent,4.716718520473492
2019,AL,Slow but frequent,4.379709348960366
2020,NM,Rapid and frequent,4.217690568303212
2015,AL,Slow but frequent,4.112337247700019
2020,WA,Slow but frequent,4.4371199812774655
2015,AL,Rare or none,3.9471304941945835
2019,Unknown,Rapid and frequent,4.611507946941385
2017,MS,Occasional,4.171427672384047
2021,NM,Rare or none,4.233136769654868
2018,AL,Rare or none,4.245479223405477
2018,AL,Slow but frequent,4.361260643893758
2018,NM,Slow but frequent,4.307776064260636
2021,AL,Rare or none,4.269597804040806
2021,NH,Rare or none,4.373699793938863
2018,NH,Occasional,4.327192116114866
2020,NH,Rare or none,4.374121951957919
2018,NM,Rapid and frequent,4.2133464547492725
2015,MS,Slow but frequent,4.0152784018791925
2015,NH,Rare or none,4.07601500086125
2015,NH,Occasional,3.977001740356041
2021,MS,Occasional,4.253966325445408
2017,NH,Rare or none,4.295656526655599
2015,AL,Rapid and frequent,3.9707368385242536
2017,AL,Rare or none,4.219591879477971
2019,NH,Rapid and frequent,4.441075979393272
2020,Unknown,Rapid and frequent,4.648959037248339
2020,AL,Slow but frequent,4.4311901935728715
2015,Unknown,Slow but frequent,4.578149376545453
2020,Unknown,Occasional,4.454371610795021
2019,NM,Rapid and frequent,4.253070222397675
2017,Unknown,Occasional,4.347961354059098
2020,AL,Occasional,4.251891129420009
2020,Unknown,Rare or none,4.424277909951635
2016,WA,Rapid and frequent,4.060753821746173
2020,WA,Occasional,4.280565895571755
2019,Unknown,Occasional,4.493154730567011
2015,WA,Slow but frequent,4.087410618148971
