year,state,response_strategy,avg_rating
2017,WA,Slow but frequent,4.288736116787674
2019,NH,Rare or none,4.337895792060014
2021,WA,Slow but frequent,4.403296597434347
2017,AL,Rapid and frequent,4.21872522526658
2016,NM,Rare or none,3.998427283060326
2020,NH,Rapid and frequent,4.398364260034161
2015,WA,Rapid and frequent,3.8171331640620614
2017,NM,Occasional,4.133032564556286
2017,MS,Slow but frequent,4.264842359621578
2015,NH,Slow but frequent,4.2449646118564335
2021,MS,Slow but frequent,4.312378501269293
2018,NH,Slow but frequent,4.399171648108166
2019,NM,Occasional,4.210522398822834
2020,MS,Occasional,4.2179878868871885
2017,NM,Rapid and frequent,4.103447056874665
2020,WA,Rare or none,4.302218544755642
2019,WA,Occasional,4.269468214042642
2019,AL,Rapid and frequent,4.3419195422113654
2018,Unknown,Occasional,4.4036375909193755
2017,AL,Occasional,4.1759120236473475
2021,Unknown,Rapid and frequent,4.677030480787657
2018,WA,Slow but frequent,4.343907367626442
2016,MS,Rare or none,4.039414747116172
2021,AL,Slow but frequent,4.417038139127505
2020,WA,Rapid and frequent,4.291967374024038
2019,Unknown,Slow but frequent,4.609157935540467
2018,Unknown,Rapid and frequent,4.6417118846338585
2017,NH,Occasional,4.2800868900866735
2018,WA,Rapid and frequent,4.209542549986743
2020,MS,Rare or none,4.25447167037152
2016,WA,Occasional,4.0629013624293115
2016,NM,Occasional,4.004237788327175
2018,MS,Rare or none,4.220707873364835
2019,MS,Slow but frequent,4.326569908449184
2017,WA,Rare or none,4.207070508790601
2021,WA,Occasional,4.284299007603468
2015,NM,Rare or none,3.8661482282104567
2020,MS,Rapid and frequent,4.24575567960032
2021,Unknown,Slow but frequent,4.502407420786327
2016,Unknown,Rapid and frequent,4.690633716810045
2017,NM,Rare or none,4.137652478130327
2016,NH,Occasional,4.119739442165876
2021,NM,Slow but frequent,4.318735321596251
2019,NM,Rare or none,4.206596319307439
2017,NH,Slow but frequent,4.334161478374336
2016,NH,Slow but frequent,4.247946541469632
2017,Unknown,Slow but frequent,4.512902644386552
2018,NH,Rare or none,4.32535260941062
2015,Unknown,Occasional,4.346174242424242
2017,Unknown,Rapid and frequent,4.55935522040325
2016,NM,Rapid and frequent,4.0237968682595024
2018,NH,Rapid and frequent,4.335125277731255
2021,NH,Slow but frequent,4.511440063276744
2019,Unknown,Rare or none,4.445865422167205
2021,MS,Rapid and frequent,4.228404654112591
2018,Unknown,Slow but frequent,4.624950650959557
2021,WA,Rapid and frequent,4.291009973983191
2015,AL,Occasional,4.014453183780543
2015,Unknown,Rapid and frequent,4.576923076923077
2017,NH,Rapid and frequent,4.322459307267026
2016,MS,Occasional,4.064110663494877
2016,AL,Rare or none,4.093730053260655
2020,MS,Slow but frequent,4.357430516910644
2016,Unknown,Rare or none,4.4108161418031395
2019,AL,Occasional,4.27744418001427
2015,NM,Slow but frequent,3.985202777988343
2015,NM,Occasional,3.939260074307226
2019,AL,Rare or none,4.260207015022409
2021,NH,Rapid and frequent,4.3911919856161274
2016,NM,Slow but frequent,4.08735298499522
2021,NH,Occasional,4.406717737727502
2018,MS,Rapid and frequent,4.310767525128206
2021,NM,Occasional,4.230130387870046
2016,AL,Slow but frequent,4.224783523119351
2021,MS,Rare or none,4.237972419604155
2016,MS,Rapid and frequent,4.163063534643226
2016,NH,Rare or none,4.191842789831881
2017,MS,Rapid and frequent,4.116083206471624
2021,AL,Rapid and frequent,4.301934164260929
2018,MS,Slow but frequent,4.333159708456562
2015,NM,Rapid and frequent,3.677354059539607
2019,MS,Rare or none,4.239957517605304
2015,NH,Rapid and frequent,4.032832852070602
2015,WA,Rare or none,4.030698583827477
2021,WA,Rare or none,4.3192873730409955
2015,MS,Rapid and frequent,3.783623580667699
2016,Unknown,Occasional,4.356054997780328
2019,NH,Slow but frequent,4.446317456558774
2020,NH,Occasional,4.386630458780856
2016,WA,Slow but frequent,4.123948645523063
2016,NH,Rapid and frequent,4.251033970214363
2020,NH,Slow but frequent,4.502472458993412
2019,WA,Rare or none,4.267497917871556
2019,NM,Slow but frequent,4.297449819615178
2016,Unknown,Slow but frequent,4.487444740230213
2015,WA,Occasional,3.9742653506473813
2020,Unknown,Slow but frequent,4.716846561147392
2019,AL,Slow but frequent,4.379849755251797
2020,NM,Rapid and frequent,4.216827374067596
2015,AL,Slow but frequent,4.109772484358867
2020,WA,Slow but frequent,4.437566989433
2015,AL,Rare or none,3.9466932400882357
2019,Unknown,Rapid and frequent,4.613612640418568
2017,MS,Occasional,4.168678243291062
2021,NM,Rare or none,4.232386013211378
2018,AL,Rare or none,4.245689451812473
2018,AL,Slow but frequent,4.3612022196459534
2018,NM,Slow but frequent,4.308460909393812
2021,AL,Rare or none,4.269567561384049
2021,NH,Rare or none,4.372344726310025
2018,NH,Occasional,4.328616048144251
2020,NH,Rare or none,4.373292185061936
2018,NM,Rapid and frequent,4.210027562859176
2015,MS,Slow but frequent,4.013388339402082
2015,NH,Rare or none,4.0773256193662935
2015,NH,Occasional,3.977001740356045
2021,MS,Occasional,4.2550504769547475
2017,NH,Rare or none,4.295045993374856
2015,AL,Rapid and frequent,3.970736838524254
2017,AL,Rare or none,4.219195410918026
2019,NH,Rapid and frequent,4.44165829960113
2020,Unknown,Rapid and frequent,4.650668220959197
2020,AL,Slow but frequent,4.431017267839412
2015,Unknown,Slow but frequent,4.578149376545452
2020,Unknown,Occasional,4.4568183978026905
2019,NM,Rapid and frequent,4.253284805852102
2017,Unknown,Occasional,4.347961354059098
2020,AL,Occasional,4.253200830220245
2020,Unknown,Rare or none,4.425366707303185
2016,WA,Rapid and frequent,4.05721426419354
2020,WA,Occasional,4.280952699999235
2019,Unknown,Occasional,4.493559323232015
2015,WA,Slow but frequent,4.086852773307423
2016,WA,Rare or none,4.12345747398058
2020,NM,Slow but frequent,4.3607167291455164
2020,NM,Rare or none,4.22465238564617
2017,Unknown,Rare or none,4.435052705474864
2020,AL,Rare or none,4.280844705305162
2018,AL,Occasional,4.246835454002811
2017,NM,Slow but frequent,4.284412759560589
2019,WA,Rapid and frequent,4.273860491416155
2019,MS,Rapid and frequent,4.299850041827014
2018,NM,Occasional,4.189970033380141
2019,MS,Occasional,4.262805805385692
2019,WA,Slow but frequent,4.381460181384168
2017,AL,Slow but frequent,4.353019721254688
2021,NM,Rapid and frequent,4.235848580388651
2016,AL,Occasional,4.008119841862491
2018,AL,Rapid and frequent,4.296555738628954
2018,WA,Rare or none,4.2475681584907194
2021,AL,Occasional,4.260553998297796
2020,AL,Rapid and frequent,4.296989223746684
2018,WA,Occasional,4.247139257177269
2017,WA,Rapid and frequent,4.146918212129272
2015,MS,Occasional,4.010399282981827
2020,NM,Occasional,4.254151223994156
2016,MS,Slow but frequent,4.159301363904578
2018,Unknown,Rare or none,4.4872146497532235
2016,AL,Rapid and frequent,4.154730144770437
2017,MS,Rare or none,4.182048433646775
2015,MS,Rare or none,3.9195093738999356
2017,WA,Occasional,4.182774095375113
2018,NM,Rare or none,4.181404515088505
2021,Unknown,Rare or none,4.369857713394418
2019,NH,Occasional,4.358208547403649
2015,Unknown,Rare or none,4.438583465659967
2018,MS,Occasional,4.207760075497377
2021,Unknown,Occasional,4.5308278100024815
